partner,total_v,total_rows,sanc_v,sanc_rows,sanc_share,post_v,pre_v,growth,exposure_index,iso3
854,614.924,18,355.466,9.0,0.5780649316013036,2494.609,614.924,4.40903482923635,0.5780649316013036,BFA
784,2155137.871,5131,1200971.413,2738.0,0.5572596673097022,6961989.34,2155137.871,3.3072197738449622,0.5572596673097022,ARE
804,15305790.574,8752,8513771.268,3858.0,0.5562451169600068,513805.45599999995,15305790.574,-0.9552408653430113,0.5562451169600068,UKR
136,450.617,21,248.116,11.0,0.5506139360033021,,450.617,,0.5506139360033021,CYM
678,93.32000000000001,49,51.161,26.0,0.5482318902700386,,93.32000000000001,,0.5482318902700386,STP
51,2817701.095,6565,1538297.009,2978.0,0.5459404518561967,9050561.249,2817701.095,3.28271650959722,0.5459404518561967,ARM
490,7767622.774,7241,4092790.672,3606.0,0.5269038921019055,2225248.773,7767622.774,-0.6180300652689754,0.5269038921019055,S19
352,279489.925,843,144574.855,442.0,0.5172810969840863,2244.779,279489.925,-0.9892910677668733,0.5172810969840863,ISL
462,49.768,67,25.722,38.0,0.5168381289181804,48.878,49.768,0.3094893639822107,0.5168381289181804,MDV
586,1372717.201,2083,681803.853,1010.0,0.49668194767525176,232728.965,1372717.201,-0.7739481326229358,0.49668194767525176,PAK
70,360407.291,1562,174786.915,973.0,0.484970530188303,160307.845,360407.291,-0.40693820943446646,0.484970530188303,BIH
296,191.572,5,92.369,2.0,0.4821633641659533,,191.572,,0.4821633641659533,KIR
612,79.035,25,37.775,20.0,0.47795280571898524,,79.035,,0.47795280571898524,PCN
156,236835066.045,15136,112787937.181,6644.0,0.4762298888610087,299239227.77,236835066.045,0.684656092906686,0.4762298888610087,CHN
674,41250.746,644,19575.010000000002,332.0,0.4745371150378711,,41250.746,,0.4745371150378711,SMR
792,20877780.756,11773,9735240.811,5052.0,0.4662967259200775,28544985.927,20877780.756,0.8229897938295985,0.4662967259200775,TUR
524,8890.909,296,4041.573,168.0,0.45457365495474084,1309.868,8890.909,-0.803564442435901,0.45457365495474084,NPL
699,14765603.781,10189,6661571.163,4535.0,0.4511546741875831,11773690.677,14765603.781,0.06316371946808652,0.4511546741875831,IND
86,1.527,7,0.6789999999999999,3.0,0.4446627373935822,,1.527,,0.4446627373935822,IOT
516,8276.255,223,3656.681,115.0,0.4418279765425305,11807.356,8276.255,0.9022059292920932,0.4418279765425305,NAM
682,1166842.26,797,509945.411,443.0,0.43703028976684477,103346.155,1166842.26,-0.8819078824473384,0.43703028976684477,SAU
446,3440.5640000000003,165,1481.808,106.0,0.4306875268124644,3417.985,3440.5640000000003,0.32458321755774144,0.4306875268124644,MAC
512,21694.788,407,9294.967,172.0,0.4284423982386922,29099.248,21694.788,0.7884017734274855,0.4284423982386922,OMN
498,1235911.315,2702,508163.384,1401.0,0.4111649256969543,451895.407,1235911.315,-0.5124834589500191,0.4111649256969543,MDA
268,1992085.11,2672,804417.466,1309.0,0.40380677610707105,1979021.83,1992085.11,0.32458987825742724,0.40380677610707105,GEO
704,15769494.988,5210,6230399.438,2469.0,0.39509188104889237,3302147.729,15769494.988,-0.7207986912696265,0.39509188104889237,VNM
807,265256.225,1130,104089.662,708.0,0.3924117596109196,149545.275,265256.225,-0.24829775436938373,0.3924117596109196,MKD
882,82.80799999999999,35,32.442,25.0,0.39177374166747175,,82.80799999999999,,0.39177374166747175,WSM
144,1063956.551,1708,413328.63,953.0,0.38848262141110684,468198.03,1063956.551,-0.41326171692513025,0.38848262141110684,LKA
