hs6,cg_pre,cg_post,gr_pre,gr_post,cg_change,gr_change
850690,21874.747000000003,7223.371666666666,38.72366666666667,695.1903333333333,-1.107918316566698,2.8636759426089013
850710,179049.62399999998,220114.33566666665,74296.47600000001,121120.37766666665,0.20648308051164577,0.4887161832625946
850720,155261.88066666666,148911.12166666667,83939.695,122047.06266666665,-0.04176334014873184,0.3743043858422279
850730,61101.13566666667,63731.293333333335,2055.2646666666665,4911.145666666666,0.04214457462980192,0.8708197774396105
850780,1479766.1293333333,1533333.0836666666,138965.46333333335,296846.175,0.03555977382369768,0.7589848110435788
850980,107616.06666666667,110447.21866666667,130232.69066666666,392522.6186666666,0.02596755448084842,1.103266253176601
851110,384206.078,506799.9473333333,7130.3826666666655,56743.331333333335,0.27693664482890057,2.074050624953591
851120,3781.630333333333,8408.823666666665,324.5883333333333,1302.416,0.7989808836468022,1.3871099872092643
851130,70145.947,59055.47699999999,19406.323333333334,29709.209333333332,-0.1720980612406251,0.42584024909146123
851140,193386.05333333334,181328.68000000002,34673.655333333336,59382.52633333332,-0.0643768274187515,0.5380078272154147
851150,372877.064,391081.1793333334,28405.982999999997,53767.04866666667,0.047666255192181595,0.6380444045652531
851180,45851.23066666667,37446.267,1729.209,8867.907666666666,-0.2024901189213395,1.6343094290845768
851190,256671.77066666665,203798.88266666667,16536.893333333333,50612.44966666666,-0.2306634626543982,1.1185630311761638
851220,1313768.4053333334,1217630.5603333332,58559.98933333333,144522.60866666667,-0.07599278614279825,0.9033741121196606
851230,71520.86833333333,66349.65699999999,11201.854,12599.241333333333,-0.07504959098913133,0.11754739994500696
851240,57689.253333333334,55737.217000000004,2136.744,27016.342,-0.034422205804238715,2.5367278887559292
851290,505226.153,345879.3013333333,27157.660333333333,46694.392,-0.3789153707633037,0.5419495109432884
851410,314415.7326666667,214529.31333333332,12045.691666666666,33326.866,-0.38226823080429106,1.0176037921105454
851420,85263.58066666666,69148.715,5710.271333333333,9241.224333333334,-0.20948519912482233,0.48134093619272456
851430,80898.42066666666,108319.99666666666,2764.6560000000004,14506.416333333333,0.29189234731951963,1.6573821317431685
851440,79465.04166666667,84210.917,2590.8723333333332,7328.599333333333,0.058006661740799714,1.0395403300331623
851490,98786.248,100333.864,4007.4120000000003,20639.677333333337,0.015544704180538105,1.6388686037016207
851511,4424.977666666667,4587.519,3135.664666666666,9029.989666666666,0.03606611837963314,1.0575019317515935
851519,81134.48033333333,84581.32233333333,3315.2720000000004,5793.201333333333,0.04160493475892224,0.5580163868868819
851521,104448.59533333335,106305.825,4954.958333333333,21123.163,0.017624874633744625,1.4498269947426934
851529,11300.457,9738.755666666666,1855.8383333333331,13052.596666666665,-0.14871562367763858,1.9501884818353084
851531,150523.64966666666,135651.97666666665,38164.636999999995,34893.924666666666,-0.10402687334627103,-0.08959416218706906
851539,37826.42766666666,43797.415,69397.89633333334,111881.86633333332,0.14656319036035903,0.4775815233087748
851580,320017.91633333336,280420.4836666666,33889.832,45346.69866666666,-0.13208633743609965,0.29121489389190813
851590,187735.19866666666,212707.24166666667,16070.77333333333,50816.12433333333,0.12488369045733982,1.1511688667462234
851631,7621.639333333333,14702.458333333334,42146.742,49007.934,0.6569600479557494,0.15082149559012414
851650,11078.927000000001,16421.941000000003,125581.66133333334,171797.19333333333,0.3935441059765079,0.31335629559521827
